actor_id,actor,title,type,rating
a1,'Najite Dede,It's Her Day,Movie,TV-MA
a2,'Najite Dede,Ojos in d' House,TV Show,TV-G
a3, Jr.,Guest House,Movie,R
a4, Jr.,The Get Down,TV Show,TV-MA
a5,2 Chainz,Rapture,TV Show,TV-MA
a6,2Mex,This Is the Life,Movie,TV-MA
a7,4Minute,2015 Dream Concert,Movie,TV-PG
a8,50 Cent,Den of Thieves,Movie,R
a9,50 Cent,Righteous Kill,Movie,R
a10,50 Cent,Set Up,Movie,R
a11,50 Cent,The Frozen Ground,Movie,R
a12,50 Cent,The Prince,Movie,R
a13,9m88,I missed you: Director's Cut,Movie,TV-14
a14,A Boogie Wit tha Hoodie,Rapture,TV Show,TV-MA
a15,A. Murat Özgen,Dabbe: The Possession,Movie,TV-MA
a16,A.C. Peterson,Recall,Movie,TV-MA
a17,A.D. Miles,Hoops,TV Show,TV-MA
a18,A.D. Miles,Wet Hot American Summer,TV Show,TV-MA
a19,A.D. Miles,Wet Hot American Summer: Ten Years Later,TV Show,TV-MA
a20,A.J. Cook,Criminal Minds,TV Show,TV-14
a21,A.J. Cook,Final Destination 2,Movie,R
a22,A.J. Johnson,House Party,Movie,R
a23,A.J. LoCascio,Dawn of the Croods,TV Show,TV-Y7
a24,A.J. LoCascio,LEGO Jurassic World: The Indominus Escape,Movie,TV-Y7
a25,A.J. LoCascio,Voltron: Legendary Defender,TV Show,TV-Y7
a26,A.K. Hangal,Bawarchi,Movie,TV-PG
a27,A.K. Hangal,Khalnayak,Movie,TV-14
a28,A.K. Hangal,Saath Saath,Movie,TV-14
a29,A.K. Hangal,Shararat,Movie,TV-PG
a30,A.R. Rahman,One Heart: The A.R. Rahman Concert Film,Movie,TV-G
a31,A.S. Sasi Kumar,Manusangada,Movie,TV-14
a32,Aabhas Yadav,The Wishing Tree,Movie,TV-14
a33,Aachal Munjal,We Are Family,Movie,TV-14
a34,Aadarsh Balakrishna,Iqbal,Movie,TV-Y7
a35,Aadarsh Balakrishna,W/O Ram,Movie,TV-MA
a36,Aadhi,Neevevaro,Movie,TV-14
a37,Aadhya Anand,Bombay Begums,TV Show,TV-MA
a38,Aadil Khan,Shikara,Movie,TV-14
a39,Aaditi Pohankar,She,TV Show,TV-MA
a40,Aaditi Pohankar,Truckbhar Swapna,Movie,TV-14
a41,Aaditya Pratap Singh,Mantostaan,Movie,TV-MA
a42,Aadukalam Naren,Genius,Movie,TV-14
a43,Aadya Bedi,Fireflies,Movie,TV-MA
a44,Aahana Kumra,Agent Raghav,TV Show,TV-14
a45,Aahana Kumra,Betaal,TV Show,TV-MA
a46,Aakarshan Singh,Maharakshak: Aryan,TV Show,TV-14
a47,Aakash Dabhade,Article 15,Movie,TV-MA
a48,Aakash Dabhade,Boss,Movie,TV-14
a49,Aakash Dabhade,Ferrari Ki Sawaari,Movie,TV-PG
a50,Aakash Dabhade,Penalty,Movie,TV-14
a51,Aakash Dahiya,Bobby Jasoos,Movie,TV-14
a52,Aakash Pandey,Y.M.I.: Yeh Mera India,Movie,TV-MA
a53,Aakshath Das,Serious Men,Movie,TV-MA
a54,Aamina Sheikh,Cake,Movie,TV-MA
a55,Aamir Ahmed,One Night Stand,Movie,TV-MA
a56,Aamir Bashir,A Wednesday,Movie,TV-MA
a57,Aamir Bashir,Dolly Kitty Aur Woh Chamakte Sitare,Movie,TV-MA
a58,Aamir Bashir,Gurgaon,Movie,TV-14
a59,Aamir Bashir,Peepli Live,Movie,TV-MA
a60,Aamir Bashir,Pyaar Ke Side Effects,Movie,TV-MA
a61,Aamir Khan,3 Idiots,Movie,PG-13
a62,Aamir Khan,Andaz Apna Apna,Movie,TV-14
a63,Aamir Khan,Dangal,Movie,TV-PG
a64,Aamir Khan,Dhobi Ghat (Mumbai Diaries),Movie,TV-MA
