category_id,category,title,type,duration
ct1,Action & Adventure,Master,Movie,143 min
ct2,Action & Adventure,The Golden Child,Movie,94 min
ct3,Action & Adventure,Stargate,Movie,121 min
ct4,Action & Adventure,S.M.A.R.T Chase,Movie,94 min
ct5,Action & Adventure,John Carter,Movie,133 min
ct6,Action & Adventure,Kung Fu Hustle,Movie,99 min
ct7,Action & Adventure,Never Back Down,Movie,113 min
ct8,Action & Adventure,MFKZ,Movie,95 min
ct9,Action & Adventure,The Seven Deadly Sins the Movie: Prisoners of the Sky,Movie,100 min
ct10,Action & Adventure,Jarhead: Law of Return,Movie,103 min
ct11,Action & Adventure,The Take,Movie,92 min
ct12,Action & Adventure,Doom: Annihilation,Movie,97 min
ct13,Action & Adventure,Kon-Tiki,Movie,96 min
ct14,Action & Adventure,Jora 10 Numbaria,Movie,135 min
ct15,Action & Adventure,Acts of Vengeance,Movie,87 min
ct16,Action & Adventure,The Witcher: Nightmare of the Wolf,Movie,84 min
ct17,Action & Adventure,Phantom Boy,Movie,85 min
ct18,Action & Adventure,Alibaba Aur 40 Chor,Movie,147 min
ct19,Action & Adventure,Tomorrow Never Dies,Movie,119 min
ct20,Action & Adventure,Green Zone,Movie,115 min
ct21,Action & Adventure,Due Date,Movie,95 min
ct22,Action & Adventure,Dead Again in Tombstone,Movie,99 min
ct23,Action & Adventure,Best of the Best,Movie,97 min
ct24,Action & Adventure,Au coeur des gangs,Movie,97 min
ct25,Action & Adventure,King's Ransom,Movie,98 min
ct26,Action & Adventure,Kills on Wheels,Movie,103 min
ct27,Action & Adventure,Jupiter Ascending,Movie,128 min
ct28,Action & Adventure,Killers,Movie,100 min
ct29,Action & Adventure,"Justice, My Foot!",Movie,95 min
ct30,Action & Adventure,Dead Man Down,Movie,118 min
ct31,Action & Adventure,Kill the Irishman,Movie,106 min
ct32,Action & Adventure,Kill Ratio,Movie,87 min
ct33,Action & Adventure,K-19: The Widowmaker,Movie,138 min
ct34,Action & Adventure,Kaalia,Movie,173 min
ct35,Action & Adventure,Kill Command,Movie,100 min
ct36,Action & Adventure,Kill Bill: Vol. 2,Movie,137 min
ct37,Action & Adventure,Tracers,Movie,94 min
ct38,Action & Adventure,Kill Bill: Vol. 1,Movie,111 min
ct39,Action & Adventure,Kidnapping Mr. Heineken,Movie,95 min
ct40,Action & Adventure,Angamaly Diaries,Movie,128 min
ct41,Action & Adventure,Kabali (Hindi Version),Movie,148 min
ct42,Action & Adventure,Kickboxer: Vengeance,Movie,90 min
ct43,Action & Adventure,Blitz Patrollie,Movie,102 min
ct44,Action & Adventure,The Five Venoms,Movie,97 min
ct45,Action & Adventure,Bheeshma,Movie,138 min
ct46,Action & Adventure,Life Ki Toh Lag Gayi,Movie,109 min
ct47,Action & Adventure,Tezz,Movie,121 min
ct48,Action & Adventure,The Climb,Movie,105 min
ct49,Action & Adventure,Space Cowboys,Movie,130 min
ct50,Action & Adventure,Riot,Movie,88 min
ct51,Action & Adventure,The Stronghold,Movie,105 min
ct52,Action & Adventure,Spenser Confidential,Movie,111 min
ct53,Action & Adventure,Bright,Movie,118 min
ct54,Action & Adventure,Avengement,Movie,88 min
ct55,Action & Adventure,Jaal,Movie,162 min
ct56,Action & Adventure,Angu Vaikuntapurathu (Malayalam),Movie,162 min
ct57,Action & Adventure,Black,Movie,137 min
ct58,Action & Adventure,Team America: World Police,Movie,98 min
ct59,Action & Adventure,Prem Ratan Dhan Payo,Movie,164 min
ct60,Action & Adventure,Road To High & Low,Movie,94 min
ct61,Action & Adventure,High & Low The Worst,Movie,125 min
ct62,Action & Adventure,Imperfect,Movie,95 min
ct63,Action & Adventure,The Bare-Footed Kid,Movie,83 min
ct64,Action & Adventure,High & Low The Red Rain,Movie,111 min
ct65,Action & Adventure,High & Low The Movie 3 / Final Mission,Movie,118 min
ct66,Action & Adventure,High & Low The Movie 2 / End of Sky,Movie,124 min
ct67,Action & Adventure,High & Low The Movie,Movie,129 min
ct68,Action & Adventure,The Dealer,Movie,124 min
ct69,Action & Adventure,Enola Holmes,Movie,124 min
ct70,Action & Adventure,Real Steel,Movie,127 min
ct71,Action & Adventure,Bulletproof 2,Movie,97 min
ct72,Action & Adventure,Monsters: Dark Continent,Movie,119 min
ct73,Action & Adventure,Bon Cop Bad Cop 2,Movie,126 min
ct74,Action & Adventure,The Killer,Movie,100 min
ct75,Action & Adventure,Bandie,Movie,141 min
ct76,Action & Adventure,Hajwala: The Missing Engine,Movie,97 min
ct77,Action & Adventure,Monster Hunter: Legends of the Guild,Movie,59 min
ct78,Action & Adventure,The Bittersweet,Movie,98 min
ct79,Action & Adventure,The Last Boy Scout,Movie,105 min
