country_id,country,title,rating
cn1,"",D.P.,TV-MA
cn2,"",Eyes of a Thief,TV-14
cn3,Afghanistan,The Land of the Enlightened,TV-MA
cn4,Albania,Forgive Us Our Debts,TV-MA
cn5,Algeria,Eyes of a Thief,TV-14
cn6,Algeria,DNA,TV-MA
cn7,Algeria,Alexandria ... Why?,TV-MA
cn8,Angola,Santana,TV-MA
cn9,Argentina,Lusers,TV-MA
cn10,Argentina,Tini: The New Life of Violetta,G
cn11,Argentina,Mater,TV-MA
cn12,Argentina,Daemonium,NR
cn13,Argentina,Memories of a Teenager,TV-MA
cn14,Argentina,The Memory of Water,TV-MA
cn15,Argentina,Just Love,TV-MA
cn16,Argentina,The Desert Bride,TV-14
cn17,Argentina,Malena Pichot: Estupidez compleja,TV-MA
cn18,Argentina,The Kirlian Frequency,TV-14
cn19,Argentina,Despido Procedente,TV-MA
cn20,Argentina,Coffee for All,TV-PG
cn21,Argentina,Grego Rossello: Disculpe las molestias,TV-MA
cn22,Argentina,"27, el club de los malditos",TV-MA
cn23,Argentina,The Bar,TV-MA
cn24,Argentina,Blood Will Tell,TV-MA
cn25,Argentina,Neruda,R
cn26,Argentina,Caida del Cielo,TV-MA
cn27,Argentina,No Time for Shame,TV-MA
cn28,Argentina,Go! Live Your Way,TV-PG
cn29,Argentina,Lucha: Playing the Impossible,TV-PG
cn30,Argentina,Sebastián Marcelo Wainraich,TV-MA
cn31,Argentina,Palermo Hollywood,TV-MA
cn32,Argentina,Chronicle of an Escape,R
cn33,Argentina,Perdida,TV-MA
cn34,Argentina,Secreto bien guardado,TV-MA
cn35,Argentina,Alelí,TV-MA
cn36,Argentina,Okupas,TV-MA
cn37,Argentina,Notes for My Son,TV-MA
cn38,Argentina,Whisky,TV-MA
cn39,Argentina,Underdogs,PG
cn40,Argentina,The Distinguished Citizen,TV-MA
cn41,Argentina,Vientos de agua,TV-MA
cn42,Argentina,"River, el más grande siempre",TV-G
cn43,Argentina,Mi Obra Maestra,TV-MA
cn44,Argentina,The Lost Brother,TV-MA
cn45,Argentina,Todo Sobre El Asado,TV-MA
cn46,Argentina,The Aerial,TV-MA
cn47,Argentina,"Club de Cuervos Presents: I, Potro",TV-MA
cn48,Argentina,From Stress to Happiness,TV-G
cn49,Argentina,Soy Rada: Serendipity,TV-MA
cn50,Argentina,Tango Feroz,TV-MA
cn51,Argentina,Edha,TV-MA
cn52,Argentina,La Última Fiesta,TV-MA
cn53,Argentina,The Kingdom,TV-MA
cn54,Argentina,Fernando Sanjiao: Hombre,TV-MA
cn55,Argentina,We're No Animals,TV-MA
cn56,Argentina,The Lighthouse of the Orcas,TV-MA
cn57,Argentina,The Crimes That Bind,TV-14
cn58,Argentina,A Life of Speed: The Juan Manuel Fangio Story,TV-14
cn59,Argentina,Hypersomnia,TV-MA
cn60,Argentina,Agustín Aristarán: Soy Rada,TV-MA
cn61,Argentina,Food on the Go,TV-MA
cn62,Argentina,Desire,TV-MA
cn63,Argentina,Almost Happy,TV-MA
cn64,Argentina,El Marginal,TV-MA
cn65,Argentina,Esperando La Carroza,NR
cn66,Argentina,Esperando la carroza,TV-MA
cn67,Argentina,"El patrón, radiografía de un crimen",TV-MA
cn68,Argentina,Intuition,TV-MA
cn69,Argentina,Carmel: Who Killed Maria Marta?,TV-14
cn70,Argentina,A Twelve Year Night,TV-MA
cn71,Argentina,The Last Runway,TV-MA
cn72,Argentina,The Tenth Man,TV-MA
cn73,Argentina,Fuga,TV-MA
cn74,Argentina,Dry Martina,TV-MA
cn75,Argentina,Temporada de Caza,TV-MA
cn76,Argentina,Abzurdah,TV-MA
cn77,Argentina,Millennials,TV-MA
cn78,Argentina,"Heidi, bienvenida a casa",TV-Y
cn79,Argentina,GO! The Unforgettable Party,TV-PG
cn80,Argentina,Invisible,TV-MA
cn81,Argentina,Psiconautas,TV-MA
cn82,Argentina,Coven of Sisters,TV-MA
cn83,Argentina,Maradona in Mexico,TV-MA
cn84,Argentina,Luciano Mellera: Infantiloide,TV-14
cn85,Argentina,So Much Love to Give,TV-14
cn86,Argentina,Todo lo que sería Lucas Lauriente,TV-MA
cn87,Argentina,Historia de un clan,TV-MA
cn88,Argentina,Apache: The Life of Carlos Tevez,TV-MA
cn89,Argentina,Puerta 7,TV-MA
cn90,Argentina,Black Snow,TV-MA
cn91,Argentina,The Son,TV-MA
cn92,Argentina,"Pizza, birra, faso",TV-MA
cn93,Argentina,A Sort of Family,TV-14
cn94,Argentina,Al acecho,TV-MA
cn95,Argentina,Guillermo Vilas: Settling the Score,TV-14
cn96,Argentina,"El Pepe, a Supreme Life",TV-14
cn97,Argentina,LA Originals,TV-MA
cn98,Argentina,Monzón: A Knockout Blow,TV-MA
cn99,Argentina,Creators,TV-Y
cn100,Armenia,Barbecue,TV-MA
cn101,Australia,Hannah Gadsby: Douglas,TV-MA
cn102,Australia,Rip Tide,TV-PG
cn103,Australia,Deep Water,TV-MA
cn104,Australia,Ask the Doctor,TV-PG
cn105,Australia,72 Dangerous Animals: Latin America,TV-14
cn106,Australia,The Water Horse: Legend of the Deep,PG
cn107,Australia,Highly Strung,TV-14
cn108,Australia,Son of a Gun,R
cn109,Australia,The Water Diviner,R
cn110,Australia,Be Here Now,TV-MA
cn111,Australia,Peter Rabbit,PG
cn112,Australia,Kath and Kim,TV-MA
cn113,Australia,Dance Academy: The Comeback,TV-PG
cn114,Australia,Dance Academy,TV-PG
cn115,Australia,The King,R
cn116,Australia,H2O: Mermaid Adventures,TV-Y7
cn117,Australia,The Secret,TV-14
cn118,Australia,Lunatics,TV-MA
cn119,Australia,In the Cut,R
cn120,Australia,Cleverman,TV-MA
cn121,Australia,Shaun the Sheep,TV-Y
cn122,Australia,Court Justice,TV-MA
cn123,Australia,Rake,TV-MA
cn124,Australia,Shopkins: World Vacation,TV-Y
cn125,Australia,Shopkins: Wild,TV-Y
cn126,Australia,Sherlock Holmes,PG-13
cn127,Australia,Bureau of Magical Things,TV-G
cn128,Australia,The Wiggles,TV-Y
cn129,Australia,A 2nd Chance,PG
cn130,Australia,Beat Bugs: All Together Now,TV-Y
cn131,Australia,Shaka Zulu,TV-14
cn132,Australia,Hating Peter Tatchell,TV-MA
cn133,Australia,Ride Like a Girl,PG
cn134,Australia,The Letdown,TV-MA
cn135,Australia,Thorne: Sleepyhead,NR
cn136,Australia,Wentworth,TV-MA
cn137,Australia,The InBESTigators,TV-Y
cn138,Australia,Beat Bugs,TV-Y
cn139,Australia,Why Are You Like This,TV-MA
cn140,Australia,Raising the Bar,TV-Y
cn141,Australia,The Piano,R
cn142,Australia,The Railway Man,R
cn143,Australia,Blinky Bill: The Movie,PG
cn144,Australia,The Rover,R
cn145,Australia,The Magic Pill,TV-PG
cn146,Australia,Clash of the Titans,PG-13
cn147,Australia,Red Christmas,TV-MA
cn148,Australia,Reckoning,TV-MA
cn149,Australia,The Bleeding Edge,TV-14
cn150,Australia,Winchester,PG-13
cn151,Australia,Bondi Rescue,TV-PG
cn152,Australia,Saving Mr. Banks,PG-13
cn153,Australia,Berlin Syndrome,R
cn154,Australia,Jupiter Ascending,PG-13
cn155,Australia,I Am Mother,TV-PG
cn156,Australia,Cheapest Weddings,TV-14
cn157,Australia,Pacific Rim: The Black,TV-14
cn158,Australia,Breath,TV-MA
cn159,Australia,Bright Star,PG
cn160,Australia,The Sapphires,PG-13
cn161,Australia,Yummy Mummies,TV-MA
cn162,Australia,Sardaarji 2,TV-PG
cn163,Australia,Santa's Apprentice,TV-G
cn164,Australia,Nights in Rodanthe,PG-13
cn165,Australia,Cats & Dogs: The Revenge of Kitty Galore,PG
cn166,Australia,H2O: Just Add Water,TV-PG
cn167,Australia,Rumor Has It,PG-13
cn168,Australia,Motown Magic,TV-Y
cn169,Australia,72 Cutest Animals,TV-PG
cn170,Australia,Offspring,TV-MA
cn171,Australia,Carol,R
cn172,Australia,Pine Gap,TV-MA
cn173,Australia,Instant Hotel,TV-MA
cn174,Australia,Iron Fists and Kung-Fu Kicks,TV-MA
cn175,Australia,Heartbreak High,TV-14
cn176,Australia,Zumbo's Just Desserts,TV-PG
cn177,Australia,Sisters,TV-MA
cn178,Australia,The Bank Job,R
cn179,Australia,Quigley Down Under,PG-13
cn180,Australia,The New Legends of Monkey,TV-PG
cn181,Australia,The Day My Butt Went Psycho!,TV-Y7
cn182,Australia,Izzy's Koala World,TV-Y
cn183,Australia,The Great Raid,R
cn184,Australia,Going for Gold,TV-G
cn185,Australia,Losing Sight of Shore,TV-14
cn186,Australia,The Daughter,TV-MA
cn187,Australia,Wrong Kind of Black,TV-MA
cn188,Australia,Tidelands,TV-MA
cn189,Australia,History's Greatest Hoaxes,TV-PG
cn190,Australia,Tyke Elephant Outlaw,TV-14
cn191,Australia,Troy,TV-MA
