director_id,title,director,category,type,duration
d1,Watchman,A. L. Vijay,"Comedies, Dramas, International Movies",Movie,93 min
d2,Abhinetri,A. L. Vijay,"Comedies, International Movies, Sci-Fi & Fantasy",Movie,131 min
d3,Asura Guru,A. Raajdheep,"Dramas, International Movies",Movie,117 min
d4,Salaakhen,A. Salaam,"Action & Adventure, International Movies, Music & Musicals",Movie,134 min
d5,Sarkar,A.R. Murugadoss,"Action & Adventure, Dramas, International Movies",Movie,162 min
d6,Spyder,A.R. Murugadoss,"Action & Adventure, International Movies",Movie,140 min
d7,Jaoon Kahan Bata Ae Dil,Aadish Keluskar,"Dramas, Independent Movies, International Movies",Movie,107 min
d8,Harud,Aamir Bashir,"Dramas, International Movies",Movie,100 min
d9,Taare Zameen Par,Aamir Khan,"Dramas, International Movies",Movie,162 min
d10,Tanu Weds Manu,Aanand Rai,"Comedies, Dramas, International Movies",Movie,114 min
d11,Madre,Aaron Burns,"International Movies, Thrillers",Movie,95 min
d12,Catwalk: Tales from the Cat Show Circuit,Aaron Hancox,"Documentaries, International Movies",Movie,75 min
d13,Circle,Aaron Hann,"Dramas, Independent Movies, Sci-Fi & Fantasy",Movie,86 min
d14,Bethany Hamilton: Unstoppable,Aaron Lieber,"Children & Family Movies, Documentaries, Sports Movies",Movie,100 min
d15,The Endless,Aaron Moorhead,"Independent Movies, Sci-Fi & Fantasy, Thrillers",Movie,112 min
d16,Synchronic,Aaron Moorhead,Thrillers,Movie,102 min
d17,Band of Robbers,Aaron Nee,"Action & Adventure, Comedies, Independent Movies",Movie,95 min
d18,The Trial of the Chicago 7,Aaron Sorkin,Dramas,Movie,130 min
d19,Molly's Game,Aaron Sorkin,Dramas,Movie,141 min
d20,Arctic Dogs,Aaron Woodley,"Children & Family Movies, Comedies",Movie,93 min
d21,To Be a Miss,Aaron Woolf,Documentaries,Movie,84 min
d22,Chal Dhar Pakad,Aatmaram Dharne,"Comedies, Dramas, International Movies",Movie,129 min
d23,The Lost Okoroshi,Abba T. Makama,"Comedies, Dramas, Independent Movies",Movie,94 min
d24,Green White Green (And All the Beautiful Colours in My Mosaic of Madness),Abba T. Makama,"Comedies, Independent Movies, International Movies",Movie,102 min
d25,Kis Kisko Pyaar Karoon,Abbas Alibhai Burmawalla,"Comedies, International Movies",Movie,132 min
d26,Race,Abbas Alibhai Burmawalla,"Action & Adventure, International Movies, Music & Musicals",Movie,155 min
d27,Players,Abbas Alibhai Burmawalla,"Action & Adventure, International Movies",Movie,162 min
d28,Aitraaz,Abbas Alibhai Burmawalla,"International Movies, Music & Musicals, Romantic Movies",Movie,153 min
d29,Race 2,Abbas Alibhai Burmawalla,"Action & Adventure, International Movies, Music & Musicals",Movie,139 min
d30,Soldier,Abbas Mustan,"Comedies, Dramas, International Movies",Movie,155 min
d31,Jaane Tu... Ya Jaane Na,Abbas Tyrewala,"Comedies, International Movies, Music & Musicals",Movie,147 min
d32,Weed the People,Abby Epstein,Documentaries,Movie,94 min
d33,Blue Is the Warmest Color,Abdellatif Kechiche,"Dramas, Independent Movies, International Movies",Movie,180 min
d34,Convict,Abdul Aziz Hashad,"Dramas, International Movies",Movie,97 min
d35,The Tambour of Retribution,Abdulaziz Alshlahei,"Dramas, International Movies, Romantic Movies",Movie,91 min
d36,"Sincerely Yours, Dhaka",Abdullah Al Noor,"Comedies, Dramas, Independent Movies",Movie,136 min
d37,Welcome to New York,Abel Ferrara,"Dramas, Independent Movies",Movie,108 min
d38,Ittefaq,Abhay Chopra,"Dramas, International Movies, Thrillers",Movie,105 min
d39,Ani... Dr. Kashinath Ghanekar,Abhijeet Deshpande,"Dramas, International Movies",Movie,157 min
d40,Rakkhosh,Abhijit Kokate,"Horror Movies, Independent Movies, International Movies",Movie,116 min
d41,Thackeray (Hindi),Abhijit Panse,"Dramas, International Movies",Movie,135 min
d42,Thackeray (Marathi),Abhijit Panse,"Dramas, International Movies",Movie,135 min
d43,X: Past Is Present,Abhinav Shiv Tiwari,"Dramas, Independent Movies, International Movies",Movie,105 min
d44,Delhi Belly,Abhinay Deo,"Action & Adventure, Comedies, International Movies",Movie,101 min
d45,Game,Abhinay Deo,"International Movies, Thrillers",Movie,135 min
d46,Force 2,Abhinay Deo,"Action & Adventure, International Movies",Movie,123 min
d47,Ishqiya,Abhishek Chaubey,"Comedies, International Movies, Romantic Movies",Movie,115 min
d48,Udta Punjab,Abhishek Chaubey,"Dramas, International Movies",Movie,146 min
d49,Ankahi Kahaniya,Abhishek Chaubey,"Dramas, Independent Movies, International Movies",Movie,111 min
d50,Ray,Abhishek Chaubey,"International TV Shows, TV Dramas, TV Mysteries",TV Show,1 Season
d51,Dedh Ishqiya,Abhishek Chaubey,"Comedies, Dramas, International Movies",Movie,146 min
d52,Fitoor,Abhishek Kapoor,"Dramas, International Movies, Romantic Movies",Movie,124 min
d53,Kai Po Che!,Abhishek Kapoor,"Dramas, International Movies, Sports Movies",Movie,120 min
d54,Rock On!!,Abhishek Kapoor,"Dramas, International Movies, Music & Musicals",Movie,139 min
d55,Phullu,Abhishek Saxena,"Dramas, Independent Movies, International Movies",Movie,96 min
d56,Parmanu: The Story of Pokhran,Abhishek Sharma,"Dramas, International Movies",Movie,124 min
d57,The Zoya Factor,Abhishek Sharma,"Comedies, Dramas, International Movies",Movie,135 min
d58,The Shaukeens,Abhishek Sharma,"Comedies, International Movies, Music & Musicals",Movie,123 min
d59,2 States,Abhishek Varman,"Comedies, Dramas, International Movies",Movie,143 min
d60,Indoo Ki Jawani,Abir Sengupta,"Action & Adventure, Comedies, International Movies",Movie,115 min
d61,Day of Destiny,Abosi Ogba,"Children & Family Movies, Dramas, International Movies",Movie,110 min
d62,يوم الدين,Abu Bakr Shawky,"Dramas, Independent Movies, International Movies",Movie,97 min
d63,A Man For The Week End,Achille Brice,"Comedies, Dramas, International Movies",Movie,95 min
d64,Quarantine Tales,Aco Tenriyagelli,"International TV Shows, TV Comedies, TV Dramas",TV Show,1 Season
d65,Standoff,Adam Alleca,Action & Adventure,Movie,86 min
d66,Freaks,Adam B. Stein,"Independent Movies, Sci-Fi & Fantasy, Thrillers",Movie,105 min
d67,Alt-Right: Age of Rage,Adam Bhala Lough,Documentaries,Movie,106 min
d68,Human Nature,Adam Bolt,Documentaries,Movie,95 min
d69,Shelby American,Adam Carolla,"Documentaries, Sports Movies",Movie,119 min
d70,The 24 Hour War,Adam Carolla,"Documentaries, Sports Movies",Movie,100 min
d71,Uppity: The Willy T. Ribbs Story,Adam Carolla,"Documentaries, Sports Movies",Movie,106 min
d72,Outlawed,Adam Collins,Action & Adventure,Movie,102 min
d73,Forbidden Games: The Justin Fashanu Story,Adam Darke,"Documentaries, International Movies, LGBTQ Movies",Movie,81 min
d74,14 Minutes from Earth,Adam Davis,Documentaries,Movie,84 min
d75,Furthest Witness,Adam Del Giudice,"Dramas, Thrillers",Movie,88 min
d76,1 Chance 2 Dance,Adam Deyoe,"Dramas, Romantic Movies",Movie,89 min
d77,Anthony Jeselnik: Thoughts and Prayers,Adam Dubin,Stand-Up Comedy,Movie,59 min
d78,Holidays,Adam Egypt Mortimer,"Comedies, Horror Movies",Movie,106 min
d79,Spivak,Adam Larson Broder,"Comedies, Independent Movies",Movie,92 min
d80,Tramps,Adam Leon,"Dramas, Independent Movies, Romantic Movies",Movie,83 min
d81,Backcountry,Adam MacDonald,"Horror Movies, Independent Movies, Thrillers",Movie,92 min
d82,Beneath the Leaves,Adam Marino,"Independent Movies, Thrillers",Movie,90 min
d83,Step Brothers,Adam McKay,Comedies,Movie,98 min
